#ID;TITLE;DISCOUNT PRICE;FULL PRICE;STARS
110600301;Экспедиция Жизни и Смерти Эксмо;93;144;4.9
193669622;Саймон Фейтер. Сердце титана Эксмо;95;3200;5.0
126711660;Телеметрия беглецов Эксмо;95;147;4.8
63376129;Уэллс. Горький ветер Эксмо;98;153;4.7
174050508;Саймон Фейтер. Могила Рона (#2) Эксмо;98;152;4.8
145794047;Билл — герой Галактики. Фантастическая с Азбука;102;634;4.9
75246920;Раубриттер II. Spero Эксмо;103;160;5.0
151445845;Колдун на завтрак Издательство Феникс;105;1490;4.9
120945780;Змеиное Море Эксмо;106;164;5.0
154676023;Колледж волшебства Пробуждение крови Фэнтези книги Издательство Феникс;106;1499;5.0
191987493;Смертный страж Книга 4. Храм Океанов Фантастика Издательство Феникс;107;1659;5.0
136600379;Испорченные сказания. Том 4. Шаг за рубеж Эксмо;107;166;4.9
165116275;Агент Космофлота. Подземелье ведьм Азбука;110;609;4.9
15108924;Граница Империи Эксмо;113;175;4.9
151445847;Оборотный город Издательство Феникс;114;1490;5.0
262245194;Солдаты звездного фронта ЯУЗА;118;223;5.0
200259319;Драконье лето (выпуск 1) Эксмо;118;183;4.9
119965367;Чужие игры Противостояние Эксмо;119;184;4.9
15327817;Пилот ракетоносца. Вижу цель Издательство АСТ;119;402;5.0
164447579;Башня Теней (#1) Эксмо;120;185;5.0
11247921;Возвращение морского дьявола Эксмо;123;190;4.9
196135550;Мареси (#1) Эксмо;124;191;4.9
195690109;Возвращение драконов (#2) Эксмо;124;191;5.0
60402199;Миры Бесконечности Эксмо;124;192;5.0
178845038;Восстание наследницы (#1) Эксмо;128;197;5.0
60643225;Последний шанс человечества Издательство АСТ;131;414;5.0
144339649;Туннель в небе. Есть скафандр — готов пу Азбука;134;609;4.9
164225218;Мифы Ктулху Рассказы Книги ужасы Издательство Феникс;140;1978;4.9
62019091;Дракон не дремлет Эксмо;141;218;4.9
49254469;Вечный. Черный легион Издательство АСТ;145;414;5.0
18096220;Рожденные в огне Издательство АСТ;148;522;5.0
70735191;Под стеклом Издательство АСТ;150;414;5.0
200523410;Саргассы в космосе. Чумной корабль Азбука;152;654;4.9
12534495;Легенда нубятника. Три данжа Издательство АСТ;153;845;5.0
134054248;Пираты Венеры Романы Фантастика Издательство Феникс;157;2418;4.9
